elapsed_s,ns_per_line,resid_pct,phase
76.727,740.6,,2
77.016,746.8,,2
77.306,747.9,,2
77.597,755.3,,2
77.890,760.9,,2
78.185,766.4,,2
78.481,770.1,,2
78.778,775.4,,2
79.078,781.2,,2
79.379,790.5,,2
79.680,792.8,,2
79.983,799.0,,2
80.288,805.1,,2
80.593,807.2,,2
80.899,810.2,,2
81.208,813.3,,2
81.520,831.1,,2
81.830,827.0,,2
82.143,838.2,,2
82.457,841.2,,2
82.775,844.4,,2
83.092,855.6,,2
83.410,853.7,,2
83.730,864.2,,2
84.050,866.5,,2
84.375,871.0,,2
84.699,877.1,,2
85.024,884.8,,2
85.351,891.6,,2
85.681,900.4,,2
86.012,905.2,,2
86.344,906.5,,2
86.677,911.9,,2
87.013,916.6,,2
87.349,924.8,,2
87.686,926.7,,2
88.026,935.4,,2
88.368,946.6,,2
88.710,949.7,,2
89.054,954.5,,2
89.399,961.2,,2
89.746,966.8,,2
90.096,975.5,,2
90.446,980.3,,2
90.797,982.5,,2
91.151,993.7,,2
91.507,999.7,,2
91.864,1004.2,,2
92.222,1008.8,,2
92.581,1013.3,,2
92.942,1021.5,,2
93.307,1026.6,,2
93.672,1033.3,,2
94.039,1042.5,,2
94.409,1049.5,,2
94.780,1058.2,,2
95.152,1063.1,,2
95.525,1067.1,,2
95.900,1072.4,,2
96.277,1083.0,,2
96.656,1086.6,,2
97.040,1096.6,,2
97.421,1099.3,,2
97.805,1108.1,,2
98.190,1112.3,,2
98.580,1118.7,,2
98.969,1129.5,,2
99.360,1135.5,,2
99.753,1141.3,,2
100.148,1143.9,,2
100.544,1156.0,,2
100.943,1161.3,,2
101.342,1167.7,,2
101.746,1175.6,,2
102.151,1187.8,,2
102.557,1193.6,,2
102.914,1002.3,,2
103.263,966.9,,2
103.610,969.2,,2
103.956,966.9,,2
104.305,967.0,,2
104.652,968.7,,2
104.999,967.2,,2
105.347,966.9,,2
105.694,968.7,,2
106.041,967.4,,2
106.389,967.5,,2
106.736,968.7,,2
107.083,967.4,,2
107.430,967.7,,2
107.777,968.5,,2
108.124,967.3,,2
108.471,967.7,,2
108.818,968.9,,2
109.165,966.9,,2
109.512,968.1,,2
109.859,968.5,,2
110.206,967.1,,2
110.553,968.6,,2
110.900,968.9,,2
111.247,966.9,,2
111.594,969.3,,2
111.941,968.9,,2
112.288,967.1,,2
112.635,969.2,,2
112.982,969.0,,2
113.329,967.1,,2
113.676,968.8,,2
114.023,969.3,,2
114.370,966.9,,2
114.717,968.9,,2
115.064,969.0,,2
115.411,967.6,,2
115.758,968.9,,2
116.105,968.9,,2
116.452,967.8,,2
116.799,969.0,,2
117.146,968.8,,2
117.493,967.5,,2
117.840,969.3,,2
118.187,969.2,,2
118.534,967.6,,2
118.881,969.0,,2
119.228,968.9,,2
119.575,967.3,,2
119.922,969.0,,2
120.269,968.8,,2
120.616,967.5,,2
120.963,969.2,,2
121.310,968.8,,2
121.657,966.9,,2
122.004,969.3,,2
122.352,968.9,,2
122.699,967.0,,2
123.046,968.9,,2
123.393,969.0,,2
123.740,966.9,,2
124.087,969.0,,2
124.434,968.5,,2
124.782,967.0,,2
125.129,969.1,,2
125.476,968.1,,2
125.824,967.4,,2
126.171,969.0,,2
126.518,967.7,,2
126.867,966.9,,2
127.214,968.9,,2
127.560,967.2,,2
127.909,966.9,,2
128.256,968.7,,2
128.603,967.4,,2
128.952,967.2,,2
129.299,968.7,,2
129.646,966.9,,2
129.995,967.5,,2
130.342,969.0,,2
130.689,967.3,,2
131.038,967.2,,2
131.386,969.9,,2
131.733,967.3,,2
132.082,967.6,,2
132.429,968.7,,2
132.776,967.2,,2
133.125,967.3,,2
133.472,968.8,,2
133.818,967.2,,2
134.168,967.4,,2
134.515,969.2,,2
134.861,966.9,,2
135.211,967.0,,2
135.558,969.1,,2
135.904,966.9,,2
136.253,967.0,,2
136.600,968.7,,2
136.947,967.2,,2
137.296,966.9,,2
137.643,968.3,,2
137.990,967.6,,2
138.339,967.3,,2
