elapsed_s,ns_per_line,resid_pct,phase
530.790,445.4,27.38,2
532.283,429.7,,2
533.384,430.1,,2
534.548,461.7,,2
535.669,443.3,,2
536.839,473.5,27.53,2
538.394,467.7,,2
539.582,475.6,,2
540.723,454.4,,2
541.890,464.3,,2
543.065,477.3,27.69,2
544.626,464.2,,2
545.754,444.6,,2
546.883,438.2,,2
548.023,454.4,,2
549.160,444.4,27.83,2
550.676,440.7,,2
551.841,470.4,,2
552.963,444.2,,2
554.075,433.9,,2
555.232,455.6,27.99,2
556.786,464.3,,2
557.959,475.7,,2
559.136,477.4,,2
560.281,458.4,,2
561.431,461.0,28.14,2
562.959,446.9,,2
564.110,461.2,,2
565.240,447.4,,2
566.395,463.7,,2
567.527,449.5,28.28,2
569.107,484.9,,2
570.288,481.8,,2
571.469,480.0,,2
572.600,448.6,,2
573.753,456.6,28.44,2
575.332,478.8,,2
576.467,451.1,,2
577.597,449.7,,2
578.783,483.1,,2
579.942,456.6,28.60,2
581.463,439.2,,2
582.584,439.4,,2
583.740,461.2,,2
584.895,461.6,,2
586.056,464.1,28.75,2
587.657,495.8,,2
588.812,463.9,,2
589.975,468.4,,2
591.111,452.3,,2
592.284,476.4,28.91,2
593.826,460.6,,2
594.987,467.5,,2
596.170,482.0,,2
597.339,463.1,,2
598.474,442.7,29.06,2
600.024,465.9,,2
601.218,485.2,,2
602.390,474.3,,2
603.513,443.3,,2
604.661,459.4,29.22,2
606.248,481.4,,2
607.407,466.4,,2
608.569,469.1,,2
609.758,482.9,,2
610.900,455.8,29.36,2
612.486,487.3,,2
613.635,459.8,,2
614.777,456.3,,2
615.932,454.1,,2
617.106,467.3,29.49,2
618.664,462.3,,2
619.833,464.2,,2
620.990,454.3,,2
622.156,466.7,,2
623.304,456.1,29.65,2
624.895,485.2,,2
626.077,480.8,,2
627.227,460.3,,2
628.424,481.8,,2
629.595,471.2,29.80,2
631.120,448.6,,2
632.255,448.6,,2
633.388,448.8,,2
634.554,470.3,,2
635.741,481.1,29.94,2
637.299,471.1,,2
638.465,471.0,,2
639.617,461.6,,2
640.802,473.8,,2
642.007,495.7,30.08,2
643.572,475.1,,2
644.771,482.9,,2
645.968,490.2,,2
647.136,462.2,,2
648.328,483.7,30.25,2
649.885,470.3,,2
651.072,485.2,,2
652.244,474.4,,2
653.426,481.2,,2
654.600,475.8,30.39,2
656.189,490.6,,2
657.343,453.3,,2
658.491,455.6,,2
659.665,466.1,,2
660.839,466.0,30.55,2
662.421,486.7,,2
663.595,476.6,,2
664.760,469.8,,2
665.948,485.3,,2
667.119,473.4,30.69,2
668.700,478.3,,2
669.870,468.8,,2
671.070,483.1,,2
672.248,468.6,,2
673.391,456.2,30.83,2
674.938,464.0,,2
676.092,464.4,,2
677.296,487.8,,2
678.464,471.6,,2
679.692,510.2,30.98,2
681.249,470.5,,2
682.410,458.0,,2
683.560,458.0,,2
684.737,469.2,,2
685.901,469.3,31.12,2
687.500,496.1,,2
688.724,507.9,,2
689.917,488.0,,2
691.115,483.7,,2
692.298,481.6,31.27,2
693.872,480.6,,2
695.033,460.2,,2
696.193,460.6,,2
697.374,471.4,,2
698.590,502.6,31.42,2
700.218,511.9,,2
701.414,489.5,,2
702.624,498.9,,2
703.828,494.9,,2
705.007,480.7,31.57,2
706.589,483.3,,2
707.776,483.7,,2
708.928,462.5,,2
710.102,473.9,,2
711.337,516.0,31.73,2
712.945,496.7,,2
714.199,523.5,,2
715.375,476.9,,2
716.539,470.7,,2
717.734,476.9,31.86,2
719.327,490.8,,2
720.535,497.1,,2
721.745,498.9,,2
722.957,499.8,,2
724.149,487.3,32.02,2
725.717,465.5,,2
726.916,486.0,,2
728.117,487.5,,2
729.322,491.9,,2
730.535,498.2,32.18,2
732.127,489.0,,2
733.323,490.4,,2
734.551,510.8,,2
735.733,479.9,,2
736.932,491.1,32.32,2
738.544,505.7,,2
739.774,500.6,,2
741.008,513.5,,2
742.219,500.3,,2
743.398,479.0,32.48,2
745.023,504.8,,2
746.250,509.6,,2
747.451,492.6,,2
748.654,494.5,,2
749.819,469.8,32.62,2
751.397,482.7,,2
752.594,489.7,,2
753.817,504.9,,2
754.998,480.9,,2
756.220,504.5,32.77,2
757.905,550.4,,2
759.111,497.4,,2
760.320,497.9,,2
761.512,484.7,,2
762.718,486.0,32.93,2
764.345,507.0,,2
765.544,492.2,,2
766.750,495.1,,2
767.968,504.9,,2
769.173,495.4,33.07,2
770.802,506.1,,2
771.973,473.7,,2
773.159,483.7,,2
774.364,495.6,,2
775.566,493.6,33.21,2
777.184,505.5,,2
778.411,508.9,,2
779.621,498.5,,2
780.828,486.6,,2
782.030,493.5,33.35,2
783.701,539.9,,2
784.914,500.9,,2
786.159,515.1,,2
787.396,514.6,,2
788.630,501.5,33.51,2
790.245,497.9,,2
791.421,477.2,,2
792.635,497.1,,2
793.902,535.3,,2
795.106,494.5,33.66,2
796.739,518.2,,2
797.949,491.7,,2
799.180,503.1,,2
800.389,497.9,,2
801.601,501.6,33.81,2
803.195,491.9,,2
804.448,522.7,,2
805.667,502.2,,2
806.890,506.6,,2
808.141,524.8,33.95,2
809.738,495.1,,2
810.936,492.1,,2
812.170,513.6,,2
813.393,502.6,,2
814.608,498.1,34.10,2
816.201,493.0,,2
817.412,492.2,,2
818.689,535.4,,2
819.939,525.1,,2
821.175,515.3,34.26,2
822.844,540.2,,2
824.096,525.5,,2
825.366,526.8,,2
826.603,515.6,,2
827.839,516.8,34.43,2
829.543,562.1,,2
